VOLTAJE,CORRIENTE,POTENCIA ACTIVA,FACTOR DE POTENCIA,POTENCIA APARENTE
116.221489,9.977152,1104.234619,0.952288,1159.559448
116.468651,10.008096,1110.050537,0.952319,1165.629395
116.352234,9.95275,1102.469604,0.952026,1158.02478
116.594177,9.971755,1108.050171,0.95304,1162.64856
116.656006,9.764931,1026.508179,0.901127,1139.137817
116.694794,9.714358,1019.319153,0.899176,1133.61499
116.490746,9.669867,1012.333984,0.898694,1126.449951
116.490425,9.713856,1017.388672,0.899094,1131.571167
116.687218,9.735571,1022.189026,0.899801,1136.016724
116.585648,9.735201,1022.788696,0.901148,1134.984741
116.482567,9.778542,1025.138184,0.90001,1139.029663
116.583427,9.797361,1028.651245,0.90058,1142.209961
116.620399,9.809999,1031.13147,0.901302,1144.046021
116.584854,9.745852,1023.302856,0.900621,1136.21875
116.730118,9.752493,1025.371094,0.900705,1138.409668
116.562912,9.774344,1026.033936,0.900562,1139.32605
116.8713,9.819407,1033.662476,0.900711,1147.606934
